qc_id,name,brand,icon_url
"0",Ewel,Ewell,./0.png
"1",Ewell,Ewell,./0.png
"2",Ewel,Ewell,./0.png
"3",Ewell fuel station,Ewell,./0.png
"4",Ewell fuel station,Ewell,./0.png
"5",Ewell,Ewell,./0.png
"6",Station Ewell,Ewell,./0.png
"7",Ewel,Ewell,./0.png
"8",,Ewell,./0.png
"9",,Ewell,./0.png
"10",,Ewell,./0.png
"11",,Ewell,./0.png
"12",,Ewell,./0.png
"13",,Ewell,./0.png
